source_id,source_name,source_hospital,source_specialty,master_doctor_id,master_name,master_hospital,master_department,score,match_status
A01,张伟,协和医院-东院,肿瘤内科,V01001,张伟,北京协和医院,肿瘤科,0.868,match
A02,李娜娜,北大三院,血液科,V01002,李娜,北京大学第三医院,血液科,0.788,match
A03,王强,中日友好医院,放疗,V01003,王强,中日友好医院,放疗科,0.97,match
A04,赵敏,北京肿瘤医院,肿瘤内科,V01004,赵敏,北京肿瘤医院,肿瘤内科,1.0,match
A05,刘洋,朝阳医院,胸外,V01005,刘洋,首都医科大学附属北京朝阳医院,胸外科,0.92,match
A06,陈静,301医院,血液肿瘤,V01006,陈静,中国人民解放-军总医院,血液肿瘤科,0.82,match
A07,王伟,人民医院,普外科,V01007,王伟,北京大学人民医院,普外科,0.95,match
A08,李静,世纪坛医院,放疗科,V01008,李静,首都医科大学附属北京世纪坛医院,放疗科,0.95,match
A09,张敏,空军总医院,肿瘤,V01009,张敏,空军总医院,肿瘤科,0.97,match
A10,刘伟,海军总医院,消化科,V01010,刘伟,海军总医院,消化内科,0.951,match
A11,王芳,协和医院,血液,V01011,王芳,北京协和医院,血液科,0.92,match
A12,李强,北京大学第三医院,肿瘤科,V01012,李强,北京大学第三医院,肿瘤科,1.0,match
A13,张静,中日友好医院,肿瘤内科,V01013,张静,中日友好医院,肿瘤内科,1.0,match
A14,刘静,北京肿瘤医院,放疗科,V01014,刘静,北京肿瘤医院,放疗科,1.0,match
A15,陈伟,朝阳医院西区,血液肿瘤科,V01015,陈伟,首都医科大学附属北京朝阳医院,血液肿瘤科,0.95,match
A16,王秀英,中国人民解放-军总医院,胸外科,V01016,王秀英,中国人民解放-军总医院,胸外科,1.0,match
A17,李秀英,北京大学人民医院,肿瘤,V01017,李秀英,北京大学人民医院,肿瘤科,0.97,match
A18,张秀英,世纪坛医院,普外,V01018,张秀英,首都医科大学附属北京世纪坛医院,普外科,0.92,match
A19,刘秀英,空军总医院,血液科,V01019,刘秀英,空军总医院,血液科,1.0,match
A20,陈秀英,海军总医院,肿瘤科,V01020,陈秀英,海军总医院,肿瘤科,1.0,match
A21,王丽,协和医院,放疗科,V01021,王丽,北京协和医院,放疗科,0.95,match
A22,李丽,北大三院,肿瘤内科,V01022,李丽,北京大学第三医院,肿瘤内科,0.875,match
A23,张丽,中日友好医院,胸外科,V01023,张丽,中日友好医院,胸外科,1.0,match
A24,刘丽,北京肿瘤医院,血液肿瘤,V01024,刘丽,北京肿瘤医院,血液肿瘤科,0.97,match
A25,陈丽,朝阳医院,普外科,V01025,陈丽,首都医科大学附属北京朝阳医院,普外科,0.95,match
A26,王敏,301医院,肿瘤科,V01026,王敏,中国人民解放-军总医院,肿瘤科,0.85,match
A27,李敏,人民医院,血液科,V01027,李敏,北京大学人民医院,血液科,0.95,match
A28,张勇,世纪坛医院,肿瘤内科,V01028,张勇,首都医科大学附属北京世纪坛医院,肿瘤内科,0.95,match
A29,刘勇,空军总医院,放疗,V01029,刘勇,空军总医院,放疗科,0.97,match
A30,陈勇,海军总医院,胸外,V01030,陈勇,海军总医院,胸外科,0.97,match
A31,王磊,协和医院-西院,血液肿瘤科,V01031,王磊,北京协和医院,血液肿瘤科,0.917,match
A32,李磊,北京大学第三医院,普外科,V01032,李磊,北京大学第三医院,普外科,1.0,match
A33,张磊,中日友好医院,肿瘤,V01033,张磊,中日友好医院,肿瘤科,0.97,match
A34,刘磊,北京肿瘤医院,血液,V01034,刘磊,北京肿瘤医院,血液科,0.97,match
A35,陈磊,朝阳医院,肿瘤内科,V01035,陈磊,首都医科大学附属北京朝阳医院,肿瘤内科,0.95,match
A36,王军,301医院,放疗科,V01036,王军,中国人民解放-军总医院,放疗科,0.85,match
A37,李军,人民医院,胸外科,V01037,李军,北京大学人民医院,胸外科,0.95,match
A38,张军,世纪坛医院,血液肿瘤科,V01038,张军,首都医科大学附属北京世纪坛医院,血液肿瘤科,0.95,match
A39,刘军,空军总医院,普外,V01039,刘军,空军总医院,普外科,0.97,match
A40,陈军,海军总医院,肿瘤科,V01040,陈军,海军总医院,肿瘤科,1.0,match
A41,王艳,协和医院,肿瘤内科,V01041,王艳,北京协和医院,肿瘤内科,0.95,match
A42,李艳,北大三院,放疗科,V01042,李艳,北京大学第三医院,放疗科,0.875,match
A43,张艳,中日友好医院,胸外科,V01043,张艳,中日友好医院,胸外科,1.0,match
A44,刘艳,北京肿瘤医院,血液肿瘤,V01044,刘艳,北京肿瘤医院,血液肿瘤科,0.97,match
A45,孙悦,安贞医院,心内科,V01004,赵敏,北京肿瘤医院,肿瘤内科,0.226,no_match
